date,close,volume,source,log_return,vodacom_era
2021-11-25,37.0,24867700,xlsx,0.0013522652500135325,pre_announcement
2021-11-26,38.0,62798300,xlsx,0.026668247082161273,pre_announcement
2021-11-29,38.05,8976600,xlsx,0.001314924581309022,pre_announcement
2021-11-30,37.95,15651000,xlsx,-0.0026315804660557093,pre_announcement
2021-12-01,37.9,11304200,xlsx,-0.0013183917532583356,pre_announcement
2021-12-02,37.9,9865300,xlsx,0.0,pre_announcement
2021-12-03,37.05,6319400,xlsx,-0.02268276034628481,pre_announcement
2021-12-06,36.95,5032000,xlsx,-0.002702704347884916,pre_announcement
2021-12-07,36.5,12844300,xlsx,-0.012253386805765001,pre_announcement
2021-12-08,36.6,10120600,xlsx,0.0027359798188748455,pre_announcement
2021-12-09,36.95,12216600,xlsx,0.009517406986890171,pre_announcement
2021-12-10,37.8,7431200,xlsx,0.022743455231330995,pre_announcement
2021-12-14,37.75,9801200,xlsx,-0.001323626930508253,pre_announcement
2021-12-15,37.7,9682800,xlsx,-0.0013253812410685707,pre_announcement
2021-12-16,37.75,6317356,xlsx,0.0013253812410684883,pre_announcement
2021-12-17,37.95,2245600,xlsx,0.005284028146605206,pre_announcement
2021-12-20,38.0,9517100,xlsx,0.0013166558847466812,pre_announcement
2021-12-21,38.05,4404400,xlsx,0.001314924581309022,pre_announcement
2021-12-22,38.65,5159400,xlsx,0.015645690725736253,pre_announcement
2021-12-23,39.95,7033100,xlsx,0.03308189717885271,pre_announcement
2021-12-24,40.0,4242200,xlsx,0.0012507819016524548,pre_announcement
2021-12-28,39.35,1047800,xlsx,-0.016383479250524056,pre_announcement
2021-12-29,38.75,330800,xlsx,-0.015365219064056253,pre_announcement
2021-12-30,37.65,1352500,xlsx,-0.02879780155345347,pre_announcement
2021-12-31,37.95,6797900,xlsx,0.007936549595736562,pre_announcement
2022-01-03,38.15,9414200,xlsx,0.005256253888826902,pre_announcement
2022-01-04,39.05,4115300,xlsx,0.023317118555228944,pre_announcement
2022-01-05,39.55,6747300,xlsx,0.01272281792796797,pre_announcement
2022-01-06,40.0,5136500,xlsx,0.011313759900273534,pre_announcement
2022-01-07,39.9,4576700,xlsx,-0.0025031302181185884,pre_announcement
2022-01-10,38.5,4630700,xlsx,-0.03571808260207923,pre_announcement
2022-01-11,38.45,7366200,xlsx,-0.0012995453420855034,pre_announcement
2022-01-12,38.0,5913400,xlsx,-0.011772536225267236,pre_announcement
